1, 2018-11-29, 2018-12-12, 1
2, 2018-12-17, 2018-12-29, 1
3, 2018-11-12, 2018-11-20, 1
4, 2018-08-10, 2018-08-13, 1
5, 2018-05-10, 2018-05-22, 1
6, 2018-04-23, 2018-04-28, 1
7, 2018-07-06, 2018-07-15, 1
8, 2018-09-11, 2018-09-13, 1
9, 2018-03-28, 2018-04-06, 1
10, 2018-09-30, 2018-10-11, 1
11, 2018-11-07, 2018-11-08, 1
12, 2018-01-11, 2018-01-14, 1
13, 2018-09-15, 2018-09-23, 1
14, 2018-01-27, 2018-02-03, 1
15, 2018-10-23, 2018-10-23, 1
16, 2018-07-30, 2018-07-30, 2
17, 2018-05-26, 2018-06-02, 2
18, 2018-03-03, 2018-03-14, 2
19, 2018-01-31, 2018-01-31, 2
20, 2018-12-06, 2018-12-06, 2
21, 2018-08-21, 2018-08-21, 2
22, 2018-08-10, 2018-08-12, 2
23, 2018-06-30, 2018-07-01, 2
24, 2018-04-21, 2018-05-01, 2
25, 2018-06-14, 2018-06-22, 2
26, 2018-10-14, 2018-10-25, 2
27, 2018-08-13, 2018-08-18, 2
28, 2018-12-18, 2018-12-27, 2
29, 2018-01-06, 2018-01-09, 2
30, 2018-07-23, 2018-07-27, 2
31, 2018-10-29, 2018-11-06, 2
32, 2018-04-02, 2018-04-07, 2
33, 2018-11-14, 2018-11-17, 2
34, 2018-06-07, 2018-06-13, 2
35, 2018-05-16, 2018-05-18, 2
36, 2018-12-04, 2018-12-04, 2
37, 2018-03-14, 2018-03-15, 2
38, 2018-11-18, 2018-12-01, 2
39, 2018-02-21, 2018-02-23, 3
40, 2018-10-15, 2018-10-17, 3
41, 2018-08-02, 2018-08-03, 3
42, 2018-03-09, 2018-03-10, 3
43, 2018-05-19, 2018-05-24, 3
44, 2018-06-04, 2018-06-06, 3
45, 2018-06-15, 2018-06-21, 3
46, 2018-09-12, 2018-09-14, 3
47, 2018-01-20, 2018-02-01, 3
48, 2018-11-14, 2018-11-24, 3
49, 2018-07-05, 2018-07-06, 3
50, 2018-04-14, 2018-04-21, 3
51, 2018-08-03, 2018-08-10, 3
52, 2018-08-27, 2018-09-03, 3
53, 2018-01-17, 2018-01-18, 3
54, 2018-12-25, 2018-12-28, 3
55, 2018-03-23, 2018-03-26, 3
56, 2018-11-25, 2018-12-02, 3
57, 2018-07-18, 2018-07-30, 3
58, 2018-05-29, 2018-06-08, 4
59, 2018-12-14, 2018-12-22, 4
60, 2018-05-25, 2018-05-27, 4
61, 2018-09-02, 2018-09-03, 4
62, 2018-10-23, 2018-11-01, 4
63, 2018-04-11, 2018-04-21, 4
64, 2018-11-05, 2018-11-11, 4
65, 2018-06-23, 2018-06-25, 4
66, 2018-09-09, 2018-09-20, 4
67, 2018-07-25, 2018-07-30, 4
68, 2018-01-28, 2018-02-08, 4
69, 2018-06-11, 2018-06-11, 4
70, 2018-01-19, 2018-01-21, 4
71, 2018-08-07, 2018-08-14, 4
72, 2018-04-27, 2018-05-08, 4
73, 2018-03-21, 2018-03-31, 4
74, 2018-07-14, 2018-07-15, 4
75, 2018-07-17, 2018-07-20, 4
76, 2018-10-12, 2018-10-19, 4
77, 2018-09-24, 2018-10-05, 4
78, 2018-11-22, 2018-12-01, 4
79, 2018-02-24, 2018-02-26, 4
80, 2018-07-30, 2018-08-07, 4
81, 2018-04-25, 2018-04-30, 5
82, 2018-06-08, 2018-06-13, 5
83, 2018-10-19, 2018-10-24, 5
84, 2018-01-14, 2018-01-21, 5
85, 2018-04-19, 2018-04-24, 5
86, 2018-07-27, 2018-07-31, 5
87, 2018-09-27, 2018-09-30, 5
88, 2018-02-20, 2018-03-02, 5
89, 2018-03-03, 2018-03-15, 5
90, 2018-03-31, 2018-04-05, 5
91, 2018-07-13, 2018-07-21, 5
92, 2018-07-23, 2018-07-27, 5
93, 2018-01-30, 2018-02-11, 5
94, 2018-08-19, 2018-08-27, 5
95, 2018-10-03, 2018-10-10, 5
96, 2018-10-01, 2018-10-02, 5
97, 2018-09-04, 2018-09-05, 5
98, 2018-05-17, 2018-05-23, 5
99, 2018-06-26, 2018-07-01, 5
100, 2018-07-01, 2018-07-05, 5
101, 2018-12-02, 2018-12-11, 5
102, 2018-01-01, 2018-01-11, 5
103, 2018-05-01, 2018-05-05, 6
104, 2018-09-24, 2018-10-05, 6
105, 2018-03-29, 2018-04-09, 6
106, 2018-08-11, 2018-08-17, 6
107, 2018-04-20, 2018-04-26, 6
108, 2018-03-18, 2018-03-26, 6
109, 2018-01-13, 2018-01-21, 6
110, 2018-02-02, 2018-02-09, 6
111, 2018-02-22, 2018-03-02, 6
112, 2018-10-11, 2018-10-13, 6
113, 2018-08-18, 2018-08-28, 6
114, 2018-06-04, 2018-06-17, 6
115, 2018-11-17, 2018-11-27, 6
116, 2018-06-24, 2018-06-27, 6
117, 2018-04-14, 2018-04-18, 6
118, 2018-09-16, 2018-09-20, 6
119, 2018-12-06, 2018-12-18, 6
